issue,date,red1,red2,red3
2015049,2015-02-25(三),00,03,04
2015050,2015-02-26(四),03,06,08
2015051,2015-02-27(五),01,03,06
2015052,2015-02-28(六),01,07,09
2015053,2015-03-01(日),02,02,06
2015054,2015-03-02(一),03,05,09
2015055,2015-03-03(二),04,04,06
2015056,2015-03-04(三),03,07,08
2015057,2015-03-05(四),05,06,08
2015058,2015-03-06(五),05,06,09
2015059,2015-03-07(六),08,08,09
2015060,2015-03-08(日),00,04,06
2015061,2015-03-09(一),02,05,08
2015062,2015-03-10(二),02,07,08
2015063,2015-03-11(三),04,05,07
2015064,2015-03-12(四),03,06,08
2015065,2015-03-13(五),07,09,09
2015066,2015-03-14(六),06,08,08
2015067,2015-03-15(日),02,04,04
2015068,2015-03-16(一),05,07,07
2015069,2015-03-17(二),01,05,08
2015070,2015-03-18(三),01,06,09
2015071,2015-03-19(四),00,07,08
2015072,2015-03-20(五),01,05,06
2015073,2015-03-21(六),00,06,08
2015074,2015-03-22(日),00,04,08
2015075,2015-03-23(一),00,04,09
2015076,2015-03-24(二),02,08,08
2015077,2015-03-25(三),00,01,03
2015078,2015-03-26(四),01,04,09
2015079,2015-03-27(五),02,02,06
